rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
1,true,"","_lux8.net_",0,0,617,200.581329,"9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ"
2,true,"","Vault",0,0,617,200.581196,"Gf4rQifKzAHznUdtbFumy1MTwGX5ApgwnkxUUvEaEzWC"
3,true,"","Denys_Ivy_no_commision",0,0,617,200.580983,"451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE"
4,true,"","Casa_di_Stake",0,0,617,200.580913,"88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh"
5,true,"","ART3MIS.CLOUD_",0,0,617,200.580699,"GwHH8ciFhR8vejWCqmg8FWZUCNtubPY2esALvy5tBvji"
6,true,"","stake.systems",0,0,617,200.580593,"8ebFZA8NPLBZD91CwsG1HWQsa2B5Ludgdyf5Hi3sYhhs"
7,true,"","ZyzzChain",0,0,617,200.580554,"3ARtLeVB83RoGAwRot8dh74pc2uqbPi6JwbkwDzqk91m"
8,true,"","CoverletMEV_0_ALL_FEES",0,0,617,200.580203,"CVRr5oHCAAooVbYze7CvXtRp4FUtkMCSqBZU7MVu8v8e"
9,true,"","Grassets_Tech_-_JitoME",0,0,617,200.580016,"9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e"
10,true,"","Baby_Yoda",0,0,617,200.579817,"J2obR2DK7gnd6H88HjKzEYuMyboDWRNpbzwmGSh31nnu"
11,true,"","SGTstake_-_0_Fee",0,0,617,200.579247,"CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K"
12,true,"","Stardust_Staking_-_0_f",0,0,617,200.578962,"Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86"
13,true,"","your_operator_-_0_fee",0,0,617,200.559654,"CZ2xJQHwiojrAgrR2BUNheuWxXGjSVSZrkcxFcAGoSUH"
14,true,"","STEALTH",0,0,617,200.524231,"93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn"
15,true,"","Ubik_Capital_-_0_Fee_M",0,0,617,200.410652,"4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy"
16,true,"","diman",0,0,617,200.386505,"Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau"
17,true,"","Code-Breader",0,0,617,200.384922,"DViARWAWKkxAzp4UCgbw5B9pLSrBY3PaztFErcwgVUKX"
18,true,"","Chainode_Tech_MEV0_Fee",0,0,617,200.381519,"3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS"
19,true,"","Mad_Lads",0,0,617,200.372956,"CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD"
20,true,"","4BLOCK_0_Fee_Jito_All_",0,0,617,200.365474,"4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck"
21,true,"","Sarmina",0,0,617,200.28268,"CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN"
22,true,"","NastiK",0,0,617,200.2663,"96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN"
23,true,"","A_Unicorn_Julia",0,0,617,200.244521,"Hj2jzpAp57KyM3SmnYwJbDVrQ8tTWizMon2hhzYzwxet"
24,true,"","Satellite_Staking",0,0,617,200.243606,"uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3"
25,true,"","Legends",0,0,617,200.172408,"9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr"
26,true,"","Haus_Guaranteed_Best_A",0,0,608,200.521407,"7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL"
27,true,"","Solarius_0_fee",0,0,607,200.567059,"BuonuQoAR74GoMwCFhxKWVWWSGGt2wfbNmQ3cizaJ97G"
28,true,"","alex_s1",0,0,607,200.185141,"8fp2i8jhVcspsXUcHMQAnfQknT9nmuxFASdv6kV2FkwU"
29,true,"","PADDY_-_JITO-PALADIN",0,0,604,200.579863,"2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m"
30,true,"","Inky_Node",0,0,600,200.547249,"8j5kjKAufwdJH7GitGY18Qp12EhEQkVMc4PWZzGeH8Gw"
31,true,"","Hive_",0,0,600,200.482823,"HivE3V6suhr225ed5A8stYm5eLKf7TE5gYEkCVD2R6rC"
32,true,"","Solana_Ukraine_",0,0,594,199.257235,"FdH9QEQBxPQfaF2JpcjgdfcMnDb7rjZkCDRCWLRjTQwj"
33,true,"","nordstar_reliable_stak",0,0,592,200.578931,"NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3"
34,true,"","Astralium",0,0,586,200.580936,"4n2or6zoFFSJnzihG8NEHsqHQ7W39SVDs5gYeijc8u5d"
35,true,"","Spectrum_Staking_x𝟎",0,0,580,200.351544,"qZMH9GWnnBkx7aM1h98iKSv2Lz5N78nwNSocAxDQrbP"
36,true,"","Cogent_by_SOL_Strategi",0,0,577,200.262538,"Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA"
37,true,"","Imperative",0,0,574,200.580306,"s2Meqg3YnYVZBLSAvXhLCttifWyppoPh3W6Meqz3J3v"
38,true,"","SolarTeam_0_Fee_MEV_Bo",0,0,570,200.449729,"CjtziaSBhv4E6RXmq3PQPsZn5KBg5WUR9XnhQ9PoLK5s"
39,true,"","Wave",0,0,559,200.580521,"By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt"
40,true,"","EWR_0_Validator_No_com",0,0,557,200.382973,"FLVgaCPvSGFguumN9ao188izB4K4rxSWzkHneQMtkwQJ"
41,true,"","Flash",0,0,551,200.363334,"58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn"
42,true,"","Alpha",0,0,551,200.363293,"8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM"
43,true,"","Rocket",0,0,551,200.361594,"GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5"
44,true,"","Pumpkins_Pool_",0,0,551,199.952839,"PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb"
45,true,"","Hamsa",0,0,550,200.365634,"CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2"
46,true,"","Quatro",0,0,550,200.361221,"FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH"
47,true,"","Nansen_Stake_to_Accrue",0,0,535,200.416719,"CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ"
48,true,"","Not_a_potato_MEV",0,0,534,200.57874,"84Za5eXvehQLZR6Xqhe9WT6tTcCHTVjw3XU7GCbBRNfW"
49,true,"","Vault_X_0_fee_MEV",0,0,534,199.962025,"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n"
50,true,"","Lion3d_0_Forever",0,0,527,200.581631,"CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm"
51,true,"","Stake-Take",0,0,525,200.416651,"9oJWvtDMLLM5U5hQ8iZ5LjbZLtHHzys91hvQC6esmsrJ"
52,true,"","Overclock",0,0,521,200.376374,"C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA"
53,true,"","Public_Good_Chive_-_0_",0,0,511,200.574032,"57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f"
54,true,"","Watatsumi_Validator",0,0,487,200.581469,"5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV"
