rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
1,true,"","_lux8.net_",0,0,617,200.581329,"9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ"
2,true,"","Vault",0,0,617,200.581196,"Gf4rQifKzAHznUdtbFumy1MTwGX5ApgwnkxUUvEaEzWC"
3,true,"","Denys_Ivy_no_commision",0,0,617,200.580983,"451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE"
4,true,"","Casa_di_Stake",0,0,617,200.580913,"88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh"
5,true,"","ART3MIS.CLOUD_",0,0,617,200.580699,"GwHH8ciFhR8vejWCqmg8FWZUCNtubPY2esALvy5tBvji"
6,true,"","stake.systems",0,0,617,200.580593,"8ebFZA8NPLBZD91CwsG1HWQsa2B5Ludgdyf5Hi3sYhhs"
7,true,"","ZyzzChain",0,0,617,200.580554,"3ARtLeVB83RoGAwRot8dh74pc2uqbPi6JwbkwDzqk91m"
8,true,"","CoverletMEV_0_ALL_FEES",0,0,617,200.580203,"CVRr5oHCAAooVbYze7CvXtRp4FUtkMCSqBZU7MVu8v8e"
9,true,"","Grassets_Tech_-_JitoME",0,0,617,200.580016,"9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e"
10,true,"","Baby_Yoda",0,0,617,200.579817,"J2obR2DK7gnd6H88HjKzEYuMyboDWRNpbzwmGSh31nnu"
11,true,"","SGTstake_-_0_Fee",0,0,617,200.579247,"CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K"
12,true,"","Stardust_Staking_-_0_f",0,0,617,200.578962,"Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86"
13,true,"","your_operator_-_0_fee",0,0,617,200.559654,"CZ2xJQHwiojrAgrR2BUNheuWxXGjSVSZrkcxFcAGoSUH"
14,true,"","STEALTH",0,0,617,200.524231,"93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn"
15,true,"","Ubik_Capital_-_0_Fee_M",0,0,617,200.410652,"4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy"
16,true,"","AG_0_fee_ALL_MEV_profi",0,0,617,200.400113,"G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH"
17,true,"","diman",0,0,617,200.386505,"Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau"
18,true,"","Code-Breader",0,0,617,200.384922,"DViARWAWKkxAzp4UCgbw5B9pLSrBY3PaztFErcwgVUKX"
19,true,"","Chainode_Tech_MEV0_Fee",0,0,617,200.381519,"3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS"
20,true,"","Mad_Lads",0,0,617,200.372956,"CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD"
21,true,"","4BLOCK_0_Fee_Jito_All_",0,0,617,200.365474,"4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck"
22,true,"","akexkuz",0,0,617,200.290057,"2VA3q6DbiLjbrLgnkiZ2fdyuRyVBkYRgqBDwA6qYiSDD"
23,true,"","LegioReZero_0_feeMEV",0,0,617,200.287137,"4JryygoiM1j324fYkeBzcQDcwRfd2WpgkEzUePFj1rJY"
24,true,"","Sarmina",0,0,617,200.28268,"CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN"
25,true,"","NastiK",0,0,617,200.2663,"96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN"
26,true,"","A_Unicorn_Julia",0,0,617,200.244521,"Hj2jzpAp57KyM3SmnYwJbDVrQ8tTWizMon2hhzYzwxet"
27,true,"","Satellite_Staking",0,0,617,200.243606,"uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3"
28,true,"","Legends",0,0,617,200.172408,"9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr"
29,true,"","Haus_Guaranteed_Best_A",0,0,608,200.521407,"7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL"
30,true,"","Solarius_0_fee",0,0,607,200.567059,"BuonuQoAR74GoMwCFhxKWVWWSGGt2wfbNmQ3cizaJ97G"
31,true,"","alex_s1",0,0,607,200.185141,"8fp2i8jhVcspsXUcHMQAnfQknT9nmuxFASdv6kV2FkwU"
32,true,"","PADDY_-_JITO-PALADIN",0,0,604,200.579863,"2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m"
33,true,"","Inky_Node",0,0,600,200.547249,"8j5kjKAufwdJH7GitGY18Qp12EhEQkVMc4PWZzGeH8Gw"
34,true,"","Hive_",0,0,600,200.482823,"HivE3V6suhr225ed5A8stYm5eLKf7TE5gYEkCVD2R6rC"
35,true,"","Leapfrog_No_Fees",0,0,597,200.582216,"Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch"
36,true,"","Solana_Ukraine_",0,0,594,199.257235,"FdH9QEQBxPQfaF2JpcjgdfcMnDb7rjZkCDRCWLRjTQwj"
37,true,"","nordstar_reliable_stak",0,0,592,200.578931,"NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3"
38,true,"","Astralium",0,0,586,200.580936,"4n2or6zoFFSJnzihG8NEHsqHQ7W39SVDs5gYeijc8u5d"
39,true,"","Spectrum_Staking_x𝟎",0,0,580,200.351544,"qZMH9GWnnBkx7aM1h98iKSv2Lz5N78nwNSocAxDQrbP"
40,true,"","Cogent_by_SOL_Strategi",0,0,577,200.262538,"Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA"
41,true,"","Imperative",0,0,574,200.580306,"s2Meqg3YnYVZBLSAvXhLCttifWyppoPh3W6Meqz3J3v"
42,true,"","SolarTeam_0_Fee_MEV_Bo",0,0,570,200.449729,"CjtziaSBhv4E6RXmq3PQPsZn5KBg5WUR9XnhQ9PoLK5s"
43,true,"","Wave",0,0,559,200.580521,"By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt"
44,true,"","EWR_0_Validator_No_com",0,0,557,200.382973,"FLVgaCPvSGFguumN9ao188izB4K4rxSWzkHneQMtkwQJ"
45,true,"","Flash",0,0,551,200.363334,"58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn"
46,true,"","Alpha",0,0,551,200.363293,"8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM"
47,true,"","Rocket",0,0,551,200.361594,"GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5"
48,true,"","Pumpkins_Pool_",0,0,551,199.952839,"PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb"
49,true,"","Hamsa",0,0,550,200.365634,"CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2"
50,true,"","Quatro",0,0,550,200.361221,"FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH"
51,true,"","Nansen_Stake_to_Accrue",0,0,535,200.416719,"CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ"
52,true,"","Not_a_potato_MEV",0,0,534,200.57874,"84Za5eXvehQLZR6Xqhe9WT6tTcCHTVjw3XU7GCbBRNfW"
53,true,"","Vault_X_0_fee_MEV",0,0,534,199.962025,"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n"
54,true,"","MARGUS.ONE_0_fee_MEV",0,0,528,200.58109,"MRGSoA53J7i4WidVHTxawPyKdr26LdVYCywnrUZ6auT"
