rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
45,true,"","Nansen_Stake_to_Accrue",0,0,535,200.560351,"CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ"
46,true,"","Not_a_potato_MEV",0,0,534,200.722943,"84Za5eXvehQLZR6Xqhe9WT6tTcCHTVjw3XU7GCbBRNfW"
47,true,"","Vault_X_0_fee_MEV",0,0,534,200.105657,"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n"
48,true,"","Lion3d_0_Forever",0,0,527,200.725835,"CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm"
49,true,"","Stake-Take",0,0,525,200.560854,"9oJWvtDMLLM5U5hQ8iZ5LjbZLtHHzys91hvQC6esmsrJ"
50,true,"","Overclock",0,0,521,200.520006,"C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA"
51,true,"","Public_Good_Chive_-_0_",0,0,511,200.718238,"57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f"
52,true,"","Watatsumi_Validator",0,0,487,200.725674,"5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV"
53,true,"","voin_drak0na_0_FEE_MEV",0,0,485,200.72346,"8Zh5A5Hs6bJFAyWrLGMaF2VEUVbXFANtfuw7824Hd5XV"
54,true,"","Moovi",0,0,485,200.627304,"7ZSVbdE4gTWq7rh8d6a22LoMmSCHNB45aBtnHD5C5bUc"
55,true,"","L0vd_0_fee_MEV",0,0,482,200.624194,"8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK"
56,true,"","STAKING_STARS_",0,0,477,200.724999,"f8JPS1sKWo8ewAUu6sufkDRU1HRCqYfegExB9K6CPA2"
57,true,"","SOLPulse_0_fee_MEV_Top",0,0,473,200.682917,"24xpPUt82of7pcmy3qDvRQjCfaj7DaEiM3D4UDEYr3y4"
58,true,"","Temporal_Topaz",0,0,471,200.724305,"FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp"
59,true,"","NO_NAME",0,0,464,200.582636,"7pR7t5axFfkg2VZB1uAuFNUvpAeowq2v15J4gw5MmHTB"
60,true,"","0_Fee_Theta",0,0,451,200.721426,"8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c"
61,true,"","Yurbason",0,0,446,200.724964,"YuRBAsy9Stw1u46A8dMp7WQVBFweLP1PKuYibzYAMmQ"
62,true,"","Nodes24.io_Jito_0_MEV",0,0,435,200.722674,"138KHwTqKNWGLoo8fK5i8UxYtwoC5tC8o7M9rY1CDEjT"
63,true,"","TdrSys",0,0,434,200.724458,"6xFDLX751L7H9d5fQT9sf2SM5RWWE9LDgqz25pPDbWoJ"
64,true,"","xSTAKE_0_fee",0,0,430,200.533586,"4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E"
65,true,"","The_Lotus_Validator",0,0,408,200.680582,"gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN"
66,true,"","DjinnFi",0,0,403,200.725229,"4CymATQ8a9qJUmCh5ygNFCePNQVgiKGkobvki5i45BiB"
67,true,"","Solissoul",0,0,398,200.724042,"3KW9MzaoUrqXymwZKMph4kPaJ37JfCfw8LxsZnHnCBGS"
68,true,"","SkyForge_Reach_Higher_",0,0,394,200.725032,"mHtqTQHaUcFjSZF6tGLNLsHLvjVsxXEK8w3BoT9eLAT"
69,true,"","StepByStep_0FeeJito_ME",0,0,393,200.68818,"HnwMGBAw5PxaX56eSYc969MorEy2NzEMPLkmBkdnJmeq"
70,true,"","Grossmeister",0,0,392,200.725108,"GJB4EwPmSu5TXpHKsyqFVzdpoJyiati1aVQamUYPWXuJ"
71,true,"","QuantumSol_0_Fee",0,0,390,200.722829,"DqRT482tSPAyo9LAyXnqT1wgPFVwFTVFrT5oH1Wv2gyx"
72,true,"","AutoStake_0_fee",0,0,360,200.527999,"7knvB4bbqHCKuNp3ef2hJWdwqoH6WAUi55NQt6LdRfkx"
73,true,"","aLone_Staker",0,0,359,200.725329,"HbQwCgDvVZF5pMdGZMdX2poPU43RyF1TxQLz6LFMqYRF"
74,true,"","polkachu.com",0,0,357,200.520236,"vaoJKVZYPAsqc52T2nNQhABR1gU6Cy2koDKfCQaEiva"
75,true,"","NCValidator",0,0,354,200.689058,"ECNnK4VjcKTsABiw8FAp3JCE6tCmYyrEJthYVyMazmxi"
76,true,"","CyberVillage",0,0,348,200.725018,"HMWXfjaeSHhww1wvdBhqhHVP9v96mFB4LJ9xP2MXbDGH"
77,true,"","mrgn2",0,0,336,200.724909,"mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD"
78,true,"","mrgn3",0,0,335,192.514821,"mrgn3H4uBbKAWBjdFKSGks3SpLm4q8YaRxUCMGa5ZBY"
79,true,"","Drift",0,0,320,200.362544,"DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz"
80,true,"","Orangefin_by_SOL_Strat",0,0,314,200.726158,"DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA"
81,true,"","HashKey_Cloud",0,0,314,200.556632,"GGX3BEoZDqjxcw4AbCdu62ZTMrkpSgmPt81oP2mVuZNS"
82,true,"","puzzle_",0,0,297,200.725574,"GtpcBib8a8AJAaryYict5s4igHCfvoCM9qVSXTK1scyx"
83,true,"","SolX_Mev",0,0,279,200.507539,"ECeaWy82CxpeJQr3EG3XNmYXc9NrVeWDH5ag9Lt6TPVR"
84,true,"","Cross_Stitch_Staking",0,0,277,200.724284,"GS7tvhfiU36vp8q2d92buz3dgENidvA3bWNpRDFcvnR2"
85,true,"","Limitless_Systems",0,0,272,200.726899,"D4r6Rcua2L7nHHhdaiZe2k2bTfPg2WQqcNYpG6bugvCG"
86,true,"","Solary_0_MEV",0,0,270,200.470293,"FyLVPAKkgdAy8Gn9jnFYN5yjC1ubQWRkw2EHt2UnC8uA"
87,true,"","Farben",0,0,264,200.720233,"farbZXR7aBQSMCYiUXzoS4pRUsvuCZ38f6AXMXiKACf"
88,true,"","Majestysol_0_Fee_MEV",0,0,255,200.700464,"AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z"
89,true,"","UZB_Validator_-_0_FEE_",0,0,254,200.681663,"UZBmptMjMSQEPKm4WyUkJeAuvZSqTuNK3cQCKFqJcXT"
90,true,"","Jupiter",0,0,246,200.47767,"JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H"
91,true,"","GREED_Academy_-_fundin",0,0,243,200.558655,"GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc"
92,true,"","Helius",0,0,241,200.554035,"HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU"
93,true,"","Starke_Finance",0,0,240,200.722642,"3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5"
94,true,"","Zodiac_Labs",0,0,239,200.724573,"GbEV1RH2cGDWLXXUEFJ8ryP3B1guHjkQ5LPkhes8BsME"
95,true,"","_ELSOUL_LABO_-_Support",0,0,239,200.058552,"Fumin2Kx6BjkbUGMi4E7ZkRQg4KmgDv2j5xJBi98nUAD"
96,true,"","dogo_validator",0,0,238,200.412285,"SscQkTYV2BFQYGGffAmTzvefrFrw6z9GNYiWHstVZ77"
97,true,"","MeshMap",0,0,238,199.765885,"AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN"
98,true,"","Chikken_Meshi_-_0_Fee_",0,0,231,200.555036,"CHikKUoYJDqFK5mPPtQ4ip63n4DZbsz9gMEGJ6a3t3o"
99,true,"","bftpapi",0,0,230,200.724654,"3MVdbyD3niYjAj1uskREY5UsxqNj4nvPHn8fCMahdM71"
100,true,"","A7J_SOl_0_Fee_MEV_",0,0,230,200.709422,"9Z2TswRKvvS1d8YZVdgnJAZyqwwVUhk3QLp74J8pEmXs"
101,true,"","SOL_STAKE_0_FEEMEV_",0,0,230,200.672147,"7cvpkJPcvNX1DpkyYzP9vtKrLUr9xEjb8AxcBT56bnjS"
102,true,"","Ulastake",0,0,230,200.562992,"HrM8x5Xn6ugoHqfLc7MCr8K7D34Z3NBc1TcuohCJ2ksz"
103,true,"","Epics_DAO_-_Support_OS",0,0,230,200.460698,"KTMkUG8WCw9FdH44jLMBpc1teGafnYL6SgP4fHHbsNM"
104,true,"","Fthr_Validator",0,0,229,200.725525,"AYY1TCe347UZ7zueBmF4MyoFkeEZquRUNVBNoUZiRoew"
105,true,"","pulsar_-_0_commision_0",0,0,225,200.725122,"PULSARKCJTG5xMoJTxaKHtVzr9H4Kv84haZnnewArAG"
106,true,"","kitty_-_HIGH_PERFORMAN",0,0,225,200.725081,"7kwZc68XSEs3bgPcHjh6XKUG2t5ocWKEZtnVJYcEjvPs"
107,true,"","mrgn4",0,0,222,200.725243,"mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf"
108,true,"","Hypo_Nyms",0,0,220,200.712072,"nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY"
109,true,"","Moutai_Validator_Perfo",0,0,220,200.534896,"8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr"
110,true,"","NO_NAME",0,0,219,200.530368,"2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B"
111,true,"","LP_Army_lpSOL_by_Sign_",0,0,214,200.556958,"6k1YkmTKwPRUhChnxA9ryJmbtuQMbro4xFTL6mL9jycB"
112,true,"","Robobo",0,0,212,200.667569,"3z6PJ9F4Yk2vAFGzCV6cQ9MLAJfHcGtLD3rDmuim3G2g"
113,true,"","Absolute_Guard",0,0,212,199.732252,"3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35"
114,true,"","Rakurai_High_TPS_High_",0,0,211,200.409516,"Ed9WjPnZfAXsPttcqxMwj94qsuXVRyBsyXnDkxFva2Zv"
115,true,"","Raydium_Validator",0,0,211,200.363649,"vvvvbtDs9HsdsE6NskZMnb1RA6muoud1ChQuiF9QhSM"
116,true,"","Wagyu_Validator_-_Prem",0,0,197,200.724852,"DBfh9QUCZde2U6buTbNhxSEnaqPV9Z2cfmjsBJu9qrLw"
117,true,"","PoH_PoS",0,0,195,200.532305,"HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9"
118,true,"","Trump",0,0,191,200.725037,"TRUMPdBAv1xG1BeuiYMbeqCzySBVpkPtw2bfL8x2GJA"
119,true,"","_Starfire_0_fee_MEV",0,0,189,200.722686,"FEtkEYC16YG4ANgohvGUhobZMTSKmNKJc5h8QvpRazrA"
120,true,"","_Oracle_0",0,0,189,200.720172,"5CfFhpErZrKcrDLQtB7R9V66cAvQkcc6NmMPeA12vDgS"
121,true,"","Blossom",0,0,189,200.645069,"5fSQdv4zsAJNx6RKpGho6sL6rY6a8nziaqcmwaRJB9NE"
122,true,"","IggyStake",0,0,186,200.724893,"iggyroq4YSBgSfmruSxuz3uj7dZvnsFXyZFXYcYy3FR"
123,true,"","Free_Ross_Validator_-_",0,0,186,200.724817,"Rosss8KdLc366Hg8tqigieoLiXWUwguw9giX4HP1UsE"
124,true,"","DogWifValidator",0,0,186,200.724704,"wiFDeRHa4zcPvrZzdrnBEYCWAjMTjnV2vBgQeCpWSa9"
125,true,"","SolBlaze",0,0,186,200.446792,"sbidYi7fbif6qNsMpwBKvyF5DKcLCbjaegpADsKqNux"
126,true,"","QuickNode",0,0,181,200.546757,"4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC"
127,true,"","Messi",0,0,178,200.724878,"29r4yNFTEczzMxLN39jPj59dZZjLZdr5p1HyjQC5Wvnu"
128,true,"","NoTarriffs",0,0,178,200.724871,"EXAJfWzR6SmYyWQpCrP6o8Ppj9YNPVLjdHZNssC12xjV"
129,true,"","Sui_Validator",0,0,178,200.724771,"DSgY41vCWSi57q3DK9V5FzFpegSXM6YpjmhiSKjByiU7"
130,true,"","Sydney_Sweeney",0,0,178,200.724696,"Xbk4tCYoTmxDH98ymRKyh95h5LEUaH229YbiP5avzyW"
131,true,"","Cavey_Cool",0,0,178,199.892867,"CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX"
132,true,"","Temporal_Emerald",0,0,176,200.56525,"DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8"
133,true,"","KAST",0,0,169,200.497949,"GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw"
134,true,"","XRay_0_fee_MEV_Boost",0,0,165,200.338031,"XRAYzQwAcSqPt4T78ibJAUPmz9rjsqkWzCxmXHv3nir"
135,true,"","Synapse_",0,0,149,200.723908,"67oE2WCwhCSXHmyBeq4A4Em4W8Q6thTQQfdUtPmechuf"
136,true,"","Rain_WorksMEV0_fees",0,0,149,200.364374,"Mwz8VgAEnPtfqS62r3ixrFiMJwnNfEwR141CGnsTo5k"
137,true,"","AiDoL",0,0,146,200.371879,"AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq"
138,true,"","DeepSol",0,0,144,200.722603,"4VmboVWgpQKM9hcULoYjNdhrDsy8JDD1S6uxuU37xEBE"
139,true,"","BlackHole_0_fee",0,0,144,200.722402,"4nGV3oRHi9Fkk7HwakFS1ZjVq6U7M2v1p5xLrAbYLQtZ"
140,true,"","NO_NAME",0,0,143,200.516426,"8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7"
141,true,"","Steel_Nerves",0,0,142,200.723145,"7TYbdqaFpHbLUWBe6fTc19XPweUMN6fB3GBW3TzZWu1i"
142,true,"","Gojira",0,0,142,200.715923,"gojir4WnhS7VS1JdbnanJMzaMfr4UD7KeX1ixWAHEmw"
143,true,"","Solayer_Validator_0_Co",0,0,142,200.538221,"SLAY6uN1zZpXBTfbuDDCesNmM5D288xrz8uYvfS3n41"
144,true,"","AFK_Validator_0",0,0,141,200.722521,"CfXY2KyS6PvGW3oeSb7NCFZcswRZp2FAJY9E96hCvvVp"
145,true,"","_Mason_",0,0,141,200.7224,"7AGmaR23EUZFsxuyJ8VNUUPb7dzqY41uh9Tsjq7fQGVr"
146,true,"","NXT",0,0,134,200.669978,"nxts9SpchNGqWHRB3zmhskt434MCbUUwkeUcs6xX5oe"
147,true,"","TopReward_0_fee",0,0,133,200.720843,"TopjgY7N1fJdnW89S9fX6t7LF61nspgXGL1NpgAKhDG"
148,true,"","Abyss_Finance_0_fee_10",0,0,131,200.725811,"CBSufxkHhvNTtBuP3dmCCeRWJdLcBt35jJnd28cZXq8H"
149,true,"","SelfLiquidity",0,0,130,200.725259,"CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6"
150,true,"","NO_NAME",0,0,130,200.515946,"9PRr9k87HjjdLMRkxtxygidjxVta9VQ1kAsqgLBWXKdQ"
151,true,"","Jaguar",0,0,127,200.705221,"jagBNeXYncnn1hzwSq1JJ16XhWTgQ7DCFVqndSJZ6vT"
152,true,"","StakeWave",0,0,126,198.793317,"8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi"
153,true,"","Luminal",0,0,125,200.598886,"1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY"
154,true,"","NO_NAME",0,0,125,200.561577,"D1A4F2yh38JLQExKjDiCi4G2tCMwj93c3sikseSSePKe"
155,true,"","Bay3",0,0,111,200.121822,"bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z"
156,true,"","Hello_Moon",0,0,110,200.72079,"HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L"
157,true,"","Paws_0_FeeMEV",0,0,110,200.713372,"PAWsME7oYbjt5TRNc11mBa33JhKnQr9AYherdr9YAZ6"
158,true,"","Temporal_Opal",0,0,108,200.725505,"oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs"
159,true,"","Overclock_Diablo",0,0,108,200.677456,"C2ocKwTTZCDpwuyZuem7hih2pkpataAx21P5KHkKboko"
160,true,"","Nebula_Node",0,0,99,200.723184,"nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w"
